bird_species	photoID	horiz_dist_mm	escalon	measurement	height_mm	camera_height_mm	angle_degrees	angle_height	bill_length_sensor	wing_length_sensor	tarsus_length_sensor	body_length_sensor	focal_dist_mm	measuredBy	dist_bird_mm	bill_length_mm	wing_length_mm	tarsus_length_mm	body_length_mm
Colaptes_campestris	car_escala	NA	NA	true	NA	NA	NA	NA	NA	NA	NA	NA	NA	Flor	NA	31.216	178.845	45	464.982
Colaptes_campestris	car_3m_suelo_0gr	3000	0	scaled_photograph	0	1340	0	24.07	1.159	6.038	NA	14.077	100	Flor	3285.67	38.081	198.419	NA	462.594
Colaptes_campestris	car_3m_suelo_20gr	3000	0	scaled_photograph	0	1340	20	24.07	1.118	5.825	1.151	13.594	100	Flor	3285.67	36.734	191.419	37.824	446.721
Colaptes_campestris	car_3m_suelo_40gr	3000	0	scaled_photograph	0	1340	40	24.07	0.889	5.41	1.152	12.402	100	Flor	3285.67	29.21	177.782	37.857	407.55
Colaptes_campestris	car_3m_suelo_60gr	3000	0	scaled_photograph	0	1340	60	24.07	0.799	4.863	1.266	11.687	100	Flor	3285.67	26.252	159.806	41.603	384.054
Colaptes_campestris	car_3m_1esc_0gr	3000	1	scaled_photograph	480	1340	0	16	1.213	6.841	NA	15.968	100	Flor	3120.83	37.856	213.529	NA	498.411
Colaptes_campestris	car_3m_1esc_20gr	3000	1	scaled_photograph	480	1340	20	16	1.171	7.168	1.167	14.519	96	Flor	3120.83	38.068	233.058	37.943	472.065
Colaptes_campestris	car_3m_1esc_40gr	3000	1	scaled_photograph	480	1340	40	16	1.062	7.268	1.194	13.733	96	Flor	3120.83	45.068	236.309	38.821	446.51
Colaptes_campestris	car_3m_1esc_60gr	3000	1	scaled_photograph	480	1340	60	16	0.904	5.471	1.24	13.114	96	Flor	3120.83	58.776	177.882	40.317	426.384
Colaptes_campestris	car_3m_2esc_0gr	3000	2	scaled_photograph	770	1340	0	10.76	1.24	6.661	NA	15.838	96	Flor	3053.67	39.443	211.912	NA	503.869
Colaptes_campestris	car_3m_2esc_20gr	3000	2	scaled_photograph	770	1340	20	10.76	1.224	6.556	1.287	15.674	96	Flor	3053.67	41.433	208.572	40.944	498.651
Colaptes_campestris	car_3m_2esc_40gr	3000	2	scaled_photograph	770	1340	40	10.76	1.089	6.328	1.315	14.427	96	Flor	3053.67	45.219	201.318	41.835	458.979
Colaptes_campestris	car_3m_2esc_60gr	3000	2	scaled_photograph	770	1340	60	10.76	0.826	5.871	1.296	13.769	96	Flor	3053.67	52.549	186.779	41.231	438.046
Colaptes_campestris	car_3m_3esc_0gr	3000	3	scaled_photograph	1060	1340	0	5.33	1.225	6.671	NA	15.823	96	Flor	3013.04	38.448	209.407	NA	496.693
