species	body_length_cm	wing_length_cm	tarsus_length_mm	bill_length_mm
Molothrus_rufoaxillaris	22.80	11.50	25.05	15.60
Molothrus_rufoaxillaris	20.70	10.70	26.42	11.98
Molothrus_rufoaxillaris	21.30	10.50	26.22	13.32
Molothrus_rufoaxillaris	23.70	12.70	27.48	15.73
Molothrus_rufoaxillaris	21.90	12.00	24.47	16.20
Agelaioides_badius	19.90	9.20	23.36	15.34
Agelaioides_badius	21.00	9.30	21.60	14.93
Agelaioides_badius	20.80	8.50	25.61	16.89
Agelaioides_badius	20.50	8.90	27.38	15.85
Agelaioides_badius	20.90	9.30	24.21	15.51
Furnarius_rufus	22.80	10.10	34.46	18.31
Furnarius_rufus	21.00	9.80	33.75	18.70
Furnarius_rufus	20.90	9.80	37.71	21.70
Furnarius_rufus	20.00	10.00	34.68	20.76
Furnarius_rufus	22.70	9.90	31.33	19.73
Saltator_similis	21.70	10.10	26.76	16.67
Saltator_similis	25.60	9.50	28.41	16.33
Turdus_rufiventris	25.80	11.60	34.51	20.15
Turdus_rufiventris	28.00	11.90	35.67	19.75
Turdus_rufiventris	25.70	12.00	32.03	20.03
Turdus_rufiventris	25.80	11.50	35.31	21.78
Turdus_rufiventris	26.60	11.70	36.69	21.40
Turdus_amaurochalinus	25.80	12.10	37.50	17.12
Turdus_amaurochalinus	22.70	10.90	33.19	14.62
Turdus_amaurochalinus	23.60	10.70	34.07	17.35
Turdus_amaurochalinus	24.40	12.10	30.56	15.59
Turdus_amaurochalinus	23.90	11.00	28.72	17.75
Paroaria_coronata	19.80	10.10	24.55	13.75
Paroaria_coronata	19.70	7.60	25.33	12.01
Paroaria_coronata	21.90	9.00	26.05	14.41
Paroaria_coronata	20.70	9.40	27.78	14.14
Paroaria_coronata	19.90	9.60	26.92	13.98
Leptotila_verreauxi	32.80	15.00	31.03	16.75
Leptotila_verreauxi	33.30	15.20	30.98	17.01
Leptotila_verreauxi	31.60	15.40	30.58	16.08
Leptotila_verreauxi	33.10	15.70	32.34	17.18
Leptotila_verreauxi	32.90	15.50	35.17	16.46
Hylocharis_chrysura	10.60	5.50	4.52	20.46
Hylocharis_chrysura	10.30	5.30	4.99	20.03
Hylocharis_chrysura	10.90	5.40	5.66	20.32
Hylocharis_chrysura	11.00	5.40	5.56	20.18
Hylocharis_chrysura	10.50	5.40	4.57	21.00
