"","angle","mean_bias","sd_bias","species","trait"
"1",0,3.61,6.92,"passer","bill_length_mm"
"2",20,16.32,7.54,"passer","bill_length_mm"
"3",40,24.45,10.45,"passer","bill_length_mm"
"4",60,44.8,14.79,"passer","bill_length_mm"
"5",0,1.32,5.74,"passer","wing_length_mm"
"6",20,3.35,6.02,"passer","wing_length_mm"
"7",40,13.95,10.93,"passer","wing_length_mm"
"8",60,52.04,23.81,"passer","wing_length_mm"
"9",0,-5.23,11.15,"passer","tarsus_length_mm"
"10",20,6.91,12.16,"passer","tarsus_length_mm"
"11",40,19.67,18.53,"passer","tarsus_length_mm"
"12",60,46.29,40.05,"passer","tarsus_length_mm"
"13",0,5.08,5.77,"passer","body_length_mm"
"14",20,7.38,6.23,"passer","body_length_mm"
"15",40,18.46,10.94,"passer","body_length_mm"
"16",60,51.54,21.04,"passer","body_length_mm"
"17",0,9.06,11.77,"milvago","bill_length_mm"
"18",20,9.83,8.76,"milvago","bill_length_mm"
"19",40,18.53,11.95,"milvago","bill_length_mm"
"20",60,47.7,20.23,"milvago","bill_length_mm"
"21",0,-0.98,7.01,"milvago","wing_length_mm"
"22",20,3.51,9.94,"milvago","wing_length_mm"
"23",40,23.36,17.85,"milvago","wing_length_mm"
"24",60,72.03,33.69,"milvago","wing_length_mm"
"25",0,10.83,12.85,"milvago","tarsus_length_mm"
"26",20,14.36,12.98,"milvago","tarsus_length_mm"
"27",40,36.48,13.57,"milvago","tarsus_length_mm"
"28",60,102.44,20.45,"milvago","tarsus_length_mm"
"29",0,1.34,6.9,"milvago","body_length_mm"
"30",20,4.63,9.99,"milvago","body_length_mm"
"31",40,22.26,15.59,"milvago","body_length_mm"
"32",60,63.28,31.38,"milvago","body_length_mm"
"33",0,15.15,10.57,"turdus","bill_length_mm"
"34",20,20.03,13.74,"turdus","bill_length_mm"
"35",40,35.1,19.63,"turdus","bill_length_mm"
"36",60,84.48,45.68,"turdus","bill_length_mm"
"37",0,8.67,7.09,"turdus","wing_length_mm"
"38",20,12.19,7.31,"turdus","wing_length_mm"
"39",40,27.54,12.47,"turdus","wing_length_mm"
"40",60,72.53,22.14,"turdus","wing_length_mm"
"41",0,-11.66,9.32,"turdus","tarsus_length_mm"
"42",20,-4.27,9.79,"turdus","tarsus_length_mm"
"43",40,17.61,16.15,"turdus","tarsus_length_mm"
"44",60,76.78,19.13,"turdus","tarsus_length_mm"
"45",0,4.25,8.11,"turdus","body_length_mm"
"46",20,7.01,9.04,"turdus","body_length_mm"
"47",40,23.68,11.29,"turdus","body_length_mm"
"48",60,76.78,21.22,"turdus","body_length_mm"
"49",0,2.45,10.39,"colaptes","bill_length_mm"
"50",20,7.91,8.72,"colaptes","bill_length_mm"
"51",40,16.92,12.3,"colaptes","bill_length_mm"
"52",60,43.03,27.22,"colaptes","bill_length_mm"
"53",0,-1.65,10.25,"colaptes","wing_length_mm"
"54",20,6.23,10.77,"colaptes","wing_length_mm"
"55",40,31.86,11.71,"colaptes","wing_length_mm"
"56",60,96.01,12.12,"colaptes","wing_length_mm"
"57",0,NA,NA,"colaptes","tarsus_length_mm"
"58",20,-17.51,12.8,"colaptes","tarsus_length_mm"
"59",40,9.76,9.49,"colaptes","tarsus_length_mm"
"60",60,69.34,13.04,"colaptes","tarsus_length_mm"
"61",0,-5.71,10.86,"colaptes","body_length_mm"
"62",20,-1.97,10.52,"colaptes","body_length_mm"
"63",40,13.68,10.67,"colaptes","body_length_mm"
"64",60,61.87,29.96,"colaptes","body_length_mm"
